rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
6026,41094301,CAXIAS C E DQ DE EF M,Paraná,Saudade do Iguaçu,Estadual,Urbana,35,510.93,470.59,525.39,523.24,622.29,530.49
6027,35010297,ZEICY APPARECIDA NOGUEIRA BAPTISTA PROFESSORA,São Paulo,Taboão da Serra,Estadual,Urbana,23,527.42,477.69,537.6,534.85,574.78,530.47
6028,31010391,EE PROFESSORA ANGELICA MARIA DE ALMEIDA,Minas Gerais,SabarÁ,Estadual,Urbana,24,519.89,479.08,534.5,524.52,594.17,530.43
6029,15549704,COLEGIO ASPECTO S- LTDA,Pará,Ananindeua,Privada,Urbana,28,508.39,500.92,507.59,502.38,632.86,530.43
6030,26176262,ESCOLA TECNICA ESTADUAL PROFESSORA CELIA SIQUEIRA,Pernambuco,São José do Egito,Estadual,Urbana,129,504.62,474.75,523.72,533.79,615.19,530.42
6031,25058304,ECITE DOUTOR TRAJANO NOBREGA,Paraíba,Soledade,Estadual,Urbana,40,497.33,445.5,510.97,519.75,678.5,530.41
6032,31001881,EE FRANCISCO MENEZES FILHO,Minas Gerais,Belo Horizonte,Estadual,Urbana,75,522.64,480.07,531.1,531.95,586.13,530.38
6033,35004790,BRASILIO MACHADO,São Paulo,São Paulo,Estadual,Urbana,142,522.37,479.96,538.37,522.22,588.87,530.36
6034,35578587,PROFESSORA ORNELLA RITA FERRARI SACILOTTO,São Paulo,Americana,Estadual,Urbana,51,526.36,486.42,536.21,531.43,571.37,530.36
6035,26132735,ESCOLA DE REFERENCIA EM ENSINO MEDIO SOLIDONIO PEREIRA DE CARVALHO,Pernambuco,Quixabá,Estadual,Urbana,35,510.15,476.04,516.33,517.83,631.43,530.36
6036,33088926,CIEP 240 PROFESSOR HAROLDO TEIXEIRA VALLADAO,Rio de Janeiro,São Gonçalo,Estadual,Urbana,13,531.47,484.29,520.28,529.55,586.15,530.35
6037,41133412,SEGISMUNDO FALARZ C E EF M,Paraná,Curitiba,Estadual,Urbana,10,521.5,489.6,532.59,554.05,554,530.35
6038,43016197,ESC EST ENS MED GUARARAPES,Rio Grande do Sul,Arroio do Meio,Estadual,Urbana,33,523.57,453.7,527.91,542.19,604.24,530.32
6039,43033679,ESC EST ENS MED FERNANDO FERRARI,Rio Grande do Sul,Campo Bom,Estadual,Urbana,60,525.21,468.42,540.86,539.12,578,530.32
6040,29858887,COLEGIO DARCY RIBEIRO,Bahia,Salvador,Privada,Urbana,19,492.65,465.78,530.09,533.54,629.47,530.31
6041,35041981,FRANCISCO LOURENCO DE MELO PROFESSOR,São Paulo,Rio Grande da Serra,Estadual,Urbana,25,505.67,463.21,526.92,525.27,630.4,530.29
6042,41605950,COLEGIO SESI FOZ DO IGUACU,Paraná,Foz do Iguaçu,Privada,Urbana,23,513.37,503.56,542.03,527.16,565.22,530.27
6043,31007854,EE AMELIA SANTANA BARBOSA,Minas Gerais,Betim,Estadual,Urbana,177,516.26,479.4,533.97,532.39,589.27,530.26
6044,35070178,EMEFM DERVILLE ALLEGRETTI PROF,São Paulo,São Paulo,Municipal,Urbana,104,527.66,474.38,538.98,522.14,588.08,530.25
6045,43129170,COL ESTADUAL ONOFRE PIRES,Rio Grande do Sul,Santo Ângelo,Estadual,Urbana,42,506.67,458.31,532.23,520.61,633.33,530.23
6046,51004968,EE PROF VALDOMIRO TEODORO CANDIDO,Mato Grosso,Nova Bandeirantes,Estadual,Urbana,21,495.71,477.52,518.02,537.97,621.9,530.22
6047,35048297,LUIZ RIVELLI PROFESSOR,São Paulo,Jundiaí,Estadual,Urbana,12,531.11,491.86,522.95,576.78,528.33,530.21
6048,31042081,EE DE CONSELHEIRO PENA,Minas Gerais,Conselheiro Pena,Estadual,Urbana,39,507.45,489.94,534.79,572.69,546.15,530.2
6049,25121251,EXTERNATO DOM PEDRO II,Paraíba,Alagoa Grande,Privada,Urbana,15,502.1,453.09,505.8,516.65,673.33,530.19
6050,33017093,CE MARIA ZULMIRA TORRES,Rio de Janeiro,Paraíba do Sul,Estadual,Urbana,59,515.63,471.51,532.16,514.35,617.29,530.19
6051,29195608,COLEGIO RAMO DA VIDEIRA,Bahia,Salvador,Privada,Urbana,19,520.51,469.95,525.76,501.03,633.68,530.19
6052,43156304,ESC EST ED BAS GOVERNADOR JORGE LACERDA,Rio Grande do Sul,Torres,Estadual,Urbana,63,514.14,464.44,523.86,530.38,618.1,530.19
6053,35037448,LAERTE RAMOS DE CARVALHO PROF DR,São Paulo,São Paulo,Estadual,Urbana,108,511.42,463.15,537.58,533.76,605,530.18
6054,35033005,CLAUDIO DE SOUZA DR,São Paulo,Lutécia,Estadual,Urbana,20,515.53,454.42,527.21,544.73,609,530.18
6055,41071654,JULIA WANDERLEY C E PROF EF M,Paraná,Cascavel,Estadual,Urbana,19,535.49,491.03,538.95,504.28,581.05,530.16
6056,21206341,IFMA - CAMPUS CODO,Maranhão,Codó,Federal,Rural,127,516.67,478.76,516.72,509.75,628.82,530.14
6057,31353787,EE DE ENSINO MEDIO,Minas Gerais,Betim,Estadual,Urbana,43,512.49,492.59,524.08,544.35,577.21,530.14
6058,25109375,INSTITUTO EDUCACIONAL ELISEU FREIRES MARIZ,Paraíba,Piancó,Privada,Urbana,12,506.53,477.45,512.2,507.84,646.67,530.14
6059,13098284,CENTRO DE EDUCACAO INTEGRAL CHRIST MASTER,Amazonas,Manaus,Privada,Urbana,11,514.99,494.34,544.75,498.43,598.18,530.14
6060,11007885,EEEMTI HEITOR VILLA LOBOS,Rondônia,Ariquemes,Estadual,Urbana,114,507.2,487,521.65,521.08,613.68,530.13
6061,35003585,MANUEL CIRIDIAO BUARQUE PROFESSOR,São Paulo,São Paulo,Estadual,Urbana,193,518.24,479.2,538.06,525.35,589.74,530.12
6062,31200271,EE PEDRO ALVARES CABRAL,Minas Gerais,Abadia dos Dourados,Estadual,Urbana,18,515.86,475.17,520.12,549.42,590,530.11
6063,33172862,CENTRO EDUCACIONAL QUEEN LTDA,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,10,513.04,484.83,528.65,508.03,616,530.11
6064,27327019,ESCOLA DE EDUCACAO BASICA AGNES,Alagoas,Maceió,Privada,Urbana,19,501.1,455.18,522.39,538.17,633.68,530.11
6065,26179610,ESCOLA DE REFERENCIA EM ENSINO MEDIO NOBREGA,Pernambuco,Recife,Estadual,Urbana,129,512.99,467.26,524.25,522.5,623.41,530.08
6066,15121020,IFPA - CAMPUS CONCEICAO DO ARAGUAIA,Pará,Conceição do Araguaia,Federal,Urbana,78,510.15,483.43,518.15,525.85,612.82,530.08
6067,31068144,EE ANA DANTAS MOTTA,Minas Gerais,Carvalhos,Estadual,Urbana,19,515.42,472.79,527.03,547.79,587.37,530.08
6068,32021550,EEEFM JOAO NEIVA,Espirito Santo,João Neiva,Estadual,Urbana,40,506.21,470.67,524.68,527.26,621.5,530.06
6069,31007811,EE CONSELHEIRO AFONSO PENA,Minas Gerais,Betim,Estadual,Urbana,144,511.65,472.16,530.4,529.08,606.94,530.05
6070,28001699,CENTRO DE EXCELENCIA MANOEL MESSIAS FEITOSA,Sergipe,Nossa Senhora da Glória,Estadual,Urbana,153,509,476.62,510.65,537.49,616.47,530.04
6071,31173266,EE PADRE ROGERIO ABDALA,Minas Gerais,Monsenhor Paulo,Estadual,Urbana,28,518.23,466.73,526.94,531.08,607.14,530.02
6072,31181277,EE PROFESSOR SAMUEL JOAO DE DEUS,Minas Gerais,Paula Cândido,Estadual,Urbana,49,494.8,476.91,506.05,497.6,674.69,530.01
6073,26178222,ESCOLA DE REFERENCIA EM ENSINO MEDIO DOS PALMARES DOM ACACIO RODRIGUES ALVES,Pernambuco,Palmares,Estadual,Urbana,123,503.35,482.07,522.24,525.95,616.42,530.01
6074,35921324,LUCAS ROSCHEL RASQUINHO,São Paulo,São Paulo,Estadual,Urbana,13,509.95,492.08,538.82,496.85,612.31,530
6075,41022548,CAMARGO C E DR EM,Paraná,Doutor Camargo,Estadual,Urbana,15,514.29,466.89,524.21,508.51,636,529.98
6076,42053552,EEB MARECHAL BORMANN,Santa Catarina,Chapecó,Estadual,Urbana,82,522.47,468.16,530.02,520.67,608.54,529.97
6077,52015807,COLEGIO ESTADUAL JALLES MACHADO,Goiás,Goianésia,Estadual,Urbana,168,503.14,474.77,513.74,534.07,624.05,529.95
6078,41353617,TEC DE UNIAO DA VITORIA COLTEC C EM P,Paraná,União da Vitória,Privada,Urbana,26,514.33,467.37,530.18,557.11,580.77,529.95
6079,35022937,DAVID CARNEIRO EWBANK,São Paulo,Franca,Estadual,Urbana,92,509.07,479.89,529.54,537.78,593.26,529.91
6080,31020664,EE PROFESSOR ILIDIO ALVES DE CARVALHO,Minas Gerais,São Sebastião do Anta,Estadual,Urbana,21,517.92,503.18,534.49,520.58,573.33,529.9
6081,41370597,PILAR MATURANA C E EF M,Paraná,Curitiba,Estadual,Urbana,45,525.63,472.45,540.9,529.18,581.33,529.9
6082,21159580,CENTRO DE ENSINO THALES RIBEIRO GONCALVES,Maranhão,Caxias,Estadual,Urbana,158,509.19,475.11,523.31,525.15,616.71,529.9
