rank,inep_code,school,state,city,school_type,location,students,ch,cn,lc,mt,rd,average_exam
17041,14006200,ESCOLA ESTADUAL SENADOR HELIO DA COSTA CAMPOS,Roraima,Boa Vista,Estadual,Urbana,23,477.44,433.61,489.04,475.47,439.13,462.94
17042,15039803,EEEFM PROF SANTANA MARQUES,Pará,Belém,Estadual,Urbana,51,478.21,430.49,466.07,445.79,494.12,462.94
17043,41004892,TIRADENTES C E EF M,Paraná,Cafezal do Sul,Estadual,Urbana,15,474.17,426.13,492.05,463.65,458.67,462.93
17044,15062201,EEEFM MANOEL LOBATO SEDE,Pará,Primavera,Estadual,Urbana,25,462.19,424.38,467.43,455.86,504.8,462.93
17045,23162813,EEMTI ESTADO DA BAHIA,Ceará,Crato,Estadual,Urbana,101,451.22,433.79,476.65,462.31,490.69,462.93
17046,25045377,ECIT JOSE LEITE DE SOUSA,Paraíba,Monteiro,Estadual,Urbana,50,459.08,432.17,481.13,453.85,488.4,462.93
17047,29429889,EE - COLEGIO ESTADUAL FLAVIANO DANTAS DO NASCIMENTO,Bahia,Banzaê,Estadual,Urbana,27,460.04,417.53,466.91,456.04,514.07,462.92
17048,29192293,EE - COLEGIO ESTADUAL HEITOR VILLA LOBOS,Bahia,Salvador,Estadual,Urbana,44,474.08,448.11,480.44,451.04,460.91,462.92
17049,41009860,FELISBERTO N GONCALVES C E EF M,Paraná,Indianópolis,Estadual,Urbana,29,479.6,434.4,495.87,468.82,435.86,462.91
17050,35040800,ARMANDO GABAN PROFESSOR,São Paulo,Osasco,Estadual,Urbana,20,457.05,439.54,502.76,467.19,448,462.91
17051,12001805,ESC 1¦ DE MAIO,Acre,Mâncio Lima,Estadual,Rural,22,449.21,408.34,447.99,450.79,558.18,462.9
17052,27040240,ESCOLA ESTADUAL FERNANDINA MALTA,Alagoas,Rio Largo,Estadual,Urbana,97,451.11,422.62,478.78,449.62,512.37,462.9
17053,29415969,EE - COLEGIO ESTADUAL CIDADE DE CANDEIAS,Bahia,Candeias,Estadual,Urbana,34,454.11,430.13,476.84,454.6,498.82,462.9
17054,23162961,EEM JOSE ALVES DE FIGUEIREDO,Ceará,Crato,Estadual,Urbana,120,458.49,434.76,487.35,464.06,469.83,462.9
17055,21250529,CENTRO DE ENSINO PROFESSORA MARCELINA NOIA ALVES,Maranhão,Alto Alegre do Pindaré,Estadual,Urbana,33,459.2,430.15,463.38,510.25,451.52,462.9
17056,52048748,COLEGIO ESTADUAL JARDIM ORIENTE,Goiás,Valparaíso de Goiás,Estadual,Urbana,77,459.7,431.09,491.23,464.93,467.53,462.9
17057,17018382,COLEGIO ESTADUAL BENEDITO PEREIRA BANDEIRA,Tocantins,Formoso do Araguaia,Estadual,Urbana,17,450.51,440.81,458.89,472.45,491.76,462.88
17058,23068183,EEMTI PROFESSOR EDMILSON GUIMARAES DE ALMEIDA,Ceará,Fortaleza,Estadual,Urbana,57,450.16,428.71,478.28,471.29,485.96,462.88
17059,22138455,U E DE ENSINO MEDIO SANTA FE,Piauí,Teresina,Estadual,Urbana,10,464.4,447.14,481.54,481.22,440,462.86
17060,29108900,EE - COLEGIO ESTADUAL PROFESSORA EDITE FERREIRA FONSECA - TEMPO INTEGRAL,Bahia,Santo Estêvão,Estadual,Urbana,24,440.5,432.21,468.62,450.35,522.5,462.84
17061,27040607,ESCOLA ESTADUAL PROF¬ DORALICE DA SILVA MOURA,Alagoas,Rio Largo,Estadual,Rural,24,465.91,443.03,500.3,482.41,422.5,462.83
17062,15022617,EEEM LEOPOLDINA GUERREIRO,Pará,Afuá,Estadual,Urbana,29,447.61,422.26,476.34,464.45,503.45,462.82
17063,23203390,CEJA PROFESSORA CECY CIALDINE,Ceará,Sobral,Estadual,Urbana,24,454.89,449.52,489.29,489.53,430.83,462.81
17064,24079987,ESCOLA ESTADUAL HENRIQUE EUFRASIO DE SANTANA,Rio Grande do Norte,Pureza,Estadual,Urbana,14,460.93,444.01,479.78,486.42,442.86,462.8
17065,35025159,FRANCISCO SILVEIRA COELHO PROF,São Paulo,Taquaritinga,Estadual,Urbana,17,450.05,419.95,472.48,472.56,498.82,462.77
17066,41008472,ZILDA ARNS C E DRA EF M,Paraná,Umuarama,Estadual,Urbana,20,475.34,423.07,485.48,475.91,454,462.76
17067,23057190,DANISIO DALTON DA ROCHA CORREIA EEM,Ceará,Barreira,Estadual,Urbana,135,459.1,432.06,478.31,473.17,471.11,462.75
17068,22066144,U E PROF IRACI BARROS PINTO,Piauí,Santa Luz,Estadual,Urbana,44,438.66,428,477.28,467.04,502.73,462.74
17069,31008001,EE GRAMONT ALVES GONTIJO,Minas Gerais,Betim,Estadual,Urbana,19,462.36,430.69,498.06,462.6,460,462.74
17070,26169975,ESCOLA JOSE ANTONIO FAGUNDES,Pernambuco,Paudalho,Estadual,Rural,15,438.98,439.94,485.93,444.81,504,462.73
17071,15087042,EEEFM PROF HILDEBERTO REIS,Pará,Aurora do Pará,Estadual,Urbana,35,438.38,436.39,459.05,458.13,521.71,462.73
17072,21175632,CENTRO DE ENSINO PROFESSOR JOAO PEREIRA MARTINS NETO,Maranhão,Estreito,Estadual,Urbana,60,450.83,432.73,473.37,451.05,505.67,462.73
17073,27235807,ESCOLA ESTADUAL MARIA IVONE SANTOS DE OLIVEIRA,Alagoas,Maceió,Estadual,Urbana,45,451.55,430.08,482.2,458.58,491.11,462.71
17074,35039731,CELIA VASQUES FERRARI DUCH PROFESSORA,São Paulo,Taquarivaí,Estadual,Urbana,14,478.83,430.76,488.95,486.39,428.57,462.7
17075,35030910,PERCIO GOMES GONZALES DR,São Paulo,Flórida Paulista,Estadual,Urbana,14,464.86,415.21,484.03,486.51,462.86,462.69
17076,29191041,EE - COLEGIO ESTADUAL PADRE PALMEIRA,Bahia,Salvador,Estadual,Urbana,57,473.5,431.4,490.27,442.07,476.14,462.67
17077,43070191,ESC EST ENS MED GONCALVES LEDO,Rio Grande do Sul,Mariana Pimentel,Estadual,Urbana,12,479.71,422.9,484.81,459.28,466.67,462.67
17078,27016412,ESCOLA ESTADUAL MANOEL ANDRE,Alagoas,Arapiraca,Estadual,Urbana,69,461.34,432.65,476.73,455.95,486.67,462.67
17079,21134197,CENTRO DE ENSINO ATENEU SAO JOSE,Maranhão,Araioses,Estadual,Urbana,31,455.67,423.52,476.22,450.16,507.74,462.66
17080,25095080,EEEFM PADRE ROMA,Paraíba,João Pessoa,Estadual,Urbana,28,465.31,435.01,471.09,466.06,475.71,462.64
17081,13080539,ESCOLA ESTADUAL PADRE LUIS RUAS,Amazonas,Manaus,Estadual,Urbana,58,456.76,416.93,480.12,455.58,503.79,462.64
17082,26125013,ESCOLA GERCINO DE PONTES,Pernambuco,Recife,Estadual,Urbana,21,461.21,445.99,483.06,428.64,494.29,462.64
17083,21021643,CENTRO DE ENSINO DE TEMPO INTEGRAL MENINO JESUS DE PRAGA,Maranhão,São Luís,Estadual,Urbana,30,460.71,435.45,484.36,459.3,473.33,462.63
17084,15045552,EEEFM 28 DE JANEIRO,Pará,Castanhal,Estadual,Urbana,32,463.95,453.2,479.46,440.88,475.63,462.62
17085,26075911,ESCOLA PROFESSORA ELISA COELHO,Pernambuco,Garanhuns,Estadual,Urbana,77,464.42,432.02,486.72,468.37,461.56,462.62
17086,35050428,KATIA MARIA TARIFA LEME TONELLI PROFA,São Paulo,Franco da Rocha,Estadual,Urbana,20,446.57,439.47,487.31,457.73,482,462.61
17087,53003578,CED 02 DE TAGUATINGA,Distrito Federal,Brasília,Estadual,Urbana,44,462.36,440.38,497.42,462.88,450,462.61
17088,35922249,OSCAR BLOIS,São Paulo,São Paulo,Estadual,Urbana,41,474.04,420.1,499.49,471.55,447.8,462.6
17089,29185173,EE - COLEGIO ESTADUAL RAFAEL OLIVEIRA,Bahia,Salvador,Estadual,Urbana,38,466.53,421.49,484.8,465.93,474.21,462.59
17090,41103556,RIO DA PRATA C E C DE EF M,Paraná,Nova Laranjeiras,Estadual,Rural,14,448.16,438.84,462.02,471.01,492.86,462.58
17091,52040208,COLEGIO ESTADUAL ANTONIO CLARET CARDOSO,Goiás,Alvorada do Norte,Estadual,Urbana,38,469.07,435.44,476.52,465.52,466.32,462.58
17092,33028702,CIEP 372 PAULO LEMINSKY,Rio de Janeiro,Saquarema,Estadual,Rural,11,444.02,434.11,476.74,477.96,480,462.57
17093,35037230,JOSEPHA DE SANT ANNA NEVES PROFESSORA,São Paulo,São Sebastião,Estadual,Urbana,32,470.74,439.19,499.69,468.19,435,462.56
17094,21027943,CENTRO DE ENSINO JOAO BATISTA DE CARVALHO,Maranhão,Santa Rita,Estadual,Urbana,49,450.68,423.49,476.42,463.01,499.18,462.56
17095,52049183,COLEGIO ESTADUAL TIRADENTES,Goiás,Mimoso de Goiás,Estadual,Urbana,18,452.58,448.78,457.64,469.32,484.44,462.55
17096,21164746,CENTRO DE ENSINO ALUIZIO DE AZEVEDO,Maranhão,Timon,Estadual,Urbana,121,458.39,429.18,476.46,447.66,500.99,462.54
17097,29059380,EE - COLEGIO ESTADUAL NECY NOVAIS,Bahia,Barro Alto,Estadual,Urbana,30,458.15,433.93,466.96,474.3,479.33,462.53
17098,11002514,EEEFM PROF ORLANDO FREIRE,Rondônia,Porto Velho,Estadual,Urbana,82,464.58,424.13,485.33,463.99,474.63,462.53
17099,31213675,EE JULIO CESAR REIS OLIVEIRA,Minas Gerais,Sete Lagoas,Estadual,Urbana,13,459.48,418.9,491.54,493.44,449.23,462.52
17100,29840635,POLO EDUCACIONAL GILENO DO VALE XAVIER,Bahia,Paratinga,Municipal,Rural,12,450.84,430.38,472.35,440.67,518.33,462.52
17101,23252545,MIGUEL CARNEIRO DA CUNHA EEM,Ceará,Tianguá,Estadual,Rural,59,467.37,436.55,481.68,445.26,481.69,462.51
17102,32040725,EEEFM MAJOR ALFREDO PEDRO RABAYOLLI,Espirito Santo,Vitória,Estadual,Urbana,55,476.35,443.61,492.82,455.04,444.73,462.51
17103,35032232,ANTONIO DE CARVALHO LEITAO PROFESSOR,São Paulo,Presidente Epitácio,Estadual,Urbana,43,470.89,435.63,489.83,465.02,451.16,462.51
17104,24040207,EE PROFESSORA TEREZINHA CAROLINO DE SOUZA - ENSINO FUNDAMENTAL E MEDIO,Rio Grande do Norte,Jaçanã,Estadual,Urbana,56,454.39,434.12,481.02,470.85,472.14,462.51
17105,52073467,COLEGIO ESTADUAL EMILIA FERREIRA BRANCO,Goiás,Águas Lindas de Goiás,Estadual,Urbana,19,486.79,450.35,496.63,462.93,415.79,462.5
17106,26133920,ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE ANTONIO BARBOSA JUNIOR,Pernambuco,Jurema,Estadual,Urbana,37,461.98,436.32,474.6,470.37,469.19,462.49
17107,29365430,EE - COLEGIO ESTADUAL ALUIZIO CARNEIRO DA SILVA - DIST DE BELA VISTA,Bahia,Serrinha,Estadual,Rural,18,457.42,429.18,475.11,451.85,498.89,462.49
17108,23234474,EEM ANTONIO REGINALDO MAGALHAES ALMEIDA,Ceará,Potiretama,Estadual,Urbana,71,471.07,426.17,475.76,478.59,460.85,462.49
17109,17035163,COLEGIO ESTADUAL FULGENCIO NUNES,Tocantins,Chapada da Natividade,Estadual,Urbana,19,448.36,431.08,463.79,458.67,510.53,462.49
17110,24055867,EE PROFA MARIA ARAUJO ENSINO FUNDAMENTAL E MEDIO,Rio Grande do Norte,Parnamirim,Estadual,Rural,27,449.12,447.47,474.07,440.26,501.48,462.48
17111,22027041,U E GOV ALBERTO TAVARES E SILVA,Piauí,Teresina,Estadual,Urbana,10,481.87,464.99,483.49,458.04,424,462.48
17112,29428726,EE - COLEGIO ESTADUAL CAROLINA ALMEIDA LOPES,Bahia,Jussara,Estadual,Urbana,27,454.35,418.44,472.23,460.67,506.67,462.47
17113,23100575,EEM JOSE MARTINS RODRIGUES,Ceará,Quixadá,Estadual,Rural,67,454.1,449.27,479.99,456.43,472.54,462.47
17114,35017848,FRANCISCO DEROSA,São Paulo,Nazaré Paulista,Estadual,Urbana,29,468.92,431.7,494.23,452.64,464.83,462.46
17115,41099591,ANTONIO TUPY PINHEIRO C E EF M,Paraná,Guarapuava,Estadual,Urbana,24,480.44,429.7,492.45,463.82,445.83,462.45
17116,15040305,EEEIFM BRIGADEIRO FONTENELLE,Pará,Belém,Estadual,Urbana,74,464.76,433.69,473.96,451.46,488.38,462.45
17117,33058300,CIEP 390 CHAO DE ESTRELAS,Rio de Janeiro,Nova Iguaçu,Estadual,Urbana,41,462.38,432.61,493.83,479.28,443.9,462.4
17118,23252529,EEMTI JOSE NILTON SALVINO FRANCO,Ceará,Caridade,Estadual,Rural,62,448.26,417.6,467.52,460.24,518.39,462.4
17119,35027480,PRESCILIANO PINTO DE OLIVEIRA DOUTOR,São Paulo,Nipoã,Estadual,Urbana,12,425,426.63,483.47,508.54,468.33,462.39
17120,29165407,EE - COLEGIO ESTADUAL DOUTOR LAURO PASSOS,Bahia,Cruz das Almas,Estadual,Urbana,60,458.92,423.58,482.64,469.83,477,462.39
17121,22094750,U E DR FRANCISCO LUIZ DE MACEDO,Piauí,Padre Marcos,Estadual,Urbana,25,451.62,428.93,468.6,470.02,492.8,462.39
17122,29404460,EE - COLEGIO ESTADUAL MANOEL DE JESUS,Bahia,Simões Filho,Estadual,Urbana,35,455.87,433.99,484.24,472.69,465.14,462.39
17123,29192137,EE - COLEGIO ESTADUAL DINAH GONCALVES,Bahia,Salvador,Estadual,Urbana,40,467.41,440.15,485.58,450.8,468,462.39
17124,35043345,MILTON BORGES YPIRANGA,São Paulo,Guarujá,Estadual,Urbana,28,468.84,437.36,491.26,463.69,450.71,462.38
17125,29440173,EE - COLEGIO ESTADUAL ALBERICO GOMES SANTANA,Bahia,Cabaceiras do Paraguaçu,Estadual,Urbana,80,442.42,437.15,473.66,476.38,482.25,462.37
17126,23073721,EEFM DONA MARIA MENEZES DE SERPA,Ceará,Fortaleza,Estadual,Urbana,110,455.84,435.24,477.92,467.93,474.91,462.37
17127,22133682,U E LUIZ UBIRACI DE CARVALHO,Piauí,Isaías Coelho,Estadual,Urbana,29,450.61,422.73,472.78,447.03,518.62,462.35
17128,29188792,EE - COLEGIO ESTADUAL ARTUR DE SALES,Bahia,Salvador,Estadual,Urbana,38,472.84,427.52,498.56,451.79,461.05,462.35
17129,16010000,ESC EST PROF NANCY NINA DA COSTA,Amapá,Macapá,Estadual,Urbana,81,472.4,427.02,480.23,455.79,476.3,462.35
17130,33128618,CE CARLOS MAGNO NAZARETH CERQUEIRA,Rio de Janeiro,Rio de Janeiro,Estadual,Urbana,16,477.51,435.89,486.56,445.46,466.25,462.33
17131,26036193,ESCOLA NUCLEO DE MORADORES-7,Pernambuco,Petrolina,Estadual,Rural,18,452.93,436.68,478.72,472.22,471.11,462.33
17132,13021028,ESCOLA ESTADUAL CEL FIUZA,Amazonas,Careiro da Várzea,Estadual,Urbana,20,455.53,427.35,485.91,483.86,459,462.33
17133,23062312,EEM EDSON CORREA,Ceará,Caucaia,Estadual,Urbana,174,448.02,432.39,472.63,467.87,490.69,462.32
17134,17004284,COL EST JUSCELINO K DE OLIVEIRA,Tocantins,Luzinópolis,Estadual,Urbana,27,431.99,417.79,470.67,479.24,511.85,462.31
17135,32020333,EEEFM ERMENTINA LEAL,Espirito Santo,Aracruz,Estadual,Urbana,31,457.98,437.54,485.96,446.18,483.87,462.31
17136,35035452,CECILIA DA PALMA VALENTIM SARDINHA PROFESSORA,São Paulo,Carapicuíba,Estadual,Urbana,13,472.63,445.35,497.45,454.52,441.54,462.3
17137,35565052,PARQUE DAS AROEIRAS II,São Paulo,São José do Rio Preto,Estadual,Urbana,11,493.68,436.9,482.47,447.5,450.91,462.29
17138,13028057,ESCOLA ESTADUAL TIRADENTES,Amazonas,Manaus,Estadual,Urbana,62,463.5,422.29,479.63,458.59,487.42,462.29
17139,29432022,EE - COLEGIO ESTADUAL MANOEL GUIMARAES SANTANA,Bahia,Nordestina,Estadual,Urbana,25,476.31,442.12,490.27,466.72,436,462.28
17140,29009880,EE - COLEGIO ESTADUAL LEONIDAS DE ARAUJO SILVA,Bahia,Tabocas do Brejo Velho,Estadual,Urbana,46,450.94,439.03,472.96,469.31,479.13,462.28
17141,15042898,EEEFM PROFA DILMA DE SOUZA CATTETE,Pará,Belém,Estadual,Urbana,36,458.36,431.86,476.19,442.17,502.78,462.27
17142,27030245,ESCOLA ESTADUAL PROFESSOR LOUREIRO,Alagoas,Murici,Estadual,Urbana,67,450.48,424.36,474.56,463.05,498.81,462.25
17143,52048535,COLEGIO ESTADUAL CEU AZUL,Goiás,Valparaíso de Goiás,Estadual,Urbana,59,475.6,437.64,496.85,465.58,435.59,462.25
17144,35021829,MARCELINO BRAGA CEL,São Paulo,Boa Esperança do Sul,Estadual,Urbana,18,463.58,459.17,487.98,463.86,436.67,462.25
17145,27035875,ESCOLA ESTADUAL DOM OTAVIO BARBOSA AGUIAR,Alagoas,Maceió,Estadual,Urbana,47,465.05,425.06,481.47,458.37,481.28,462.25
17146,29061016,EE - COLEGIO ESTADUAL JOSE DE SOUZA MACHADO,Bahia,Central,Estadual,Urbana,48,453.09,435.09,473.86,442.92,506.25,462.24
17147,35002835,ERMELINO MATARAZZO,São Paulo,São Paulo,Estadual,Urbana,16,451.6,438.01,484.88,464.17,472.5,462.23
17148,21044066,CENTRO DE ENSINO DR JOSE JOAQUIM MARQUES,Maranhão,Penalva,Estadual,Urbana,49,458.17,412.66,490.67,463.06,486.53,462.22
17149,31146749,EE DOUTOR CIRO MACIEL,Minas Gerais,Catuji,Estadual,Urbana,25,449.46,424.18,466.96,456.87,513.6,462.21
17150,16004400,ESC EST ALMIRANTE BARROSO,Amapá,Santana,Estadual,Urbana,57,462.88,425.73,477.22,459.96,485.26,462.21
17151,21240280,CENTRO DE ENSINO SAO CRISTOVAO - ANEXO II - JARDIM SAO CRISTOVAO,Maranhão,São Luís,Estadual,Urbana,39,453.56,421.91,491.31,466.83,477.44,462.21
17152,35037618,ALVARO DE SOUZA LIMA DOUTOR,São Paulo,São Paulo,Estadual,Urbana,13,495.59,435.75,491.98,452.32,435.38,462.21
17153,15134580,EEEFM PROF ACY DE JESUS NEVES DE BARROS PEREIRA,Pará,Conceição do Araguaia,Estadual,Urbana,121,453.01,432.02,470.33,455.16,500.5,462.2
17154,35917254,EDGAR MELLO MATTOS DE CASTRO ENGENHEIRO,São Paulo,São José dos Campos,Estadual,Urbana,11,468.17,424.24,497.51,466.55,454.55,462.2
17155,26037726,ESCOLA ESTADUAL ANTONIO DE AMORIM COELHO,Pernambuco,Lagoa Grande,Estadual,Urbana,37,445.1,439.78,474.32,473.94,477.84,462.2
17156,25072099,ECI ASSIS CHATEAUBRIAND,Paraíba,Campina Grande,Estadual,Urbana,62,456.39,424.65,481.36,448.58,500,462.19
17157,13132237,ESCOLA ESTADUAL SANTO ANTONIO DO MATUPY,Amazonas,Manicoré,Estadual,Rural,16,456.54,435,484.76,469.52,465,462.16
17158,32010745,EEEFM PROF¬ CAROLINA PICHLER,Espirito Santo,Colatina,Estadual,Urbana,52,458.4,448.84,492.02,472.3,439.23,462.16
17159,33046778,CE JARDIM GLAUCIA,Rio de Janeiro,Belford Roxo,Estadual,Urbana,10,472.79,443.18,474.17,494.66,426,462.16
17160,53009851,CEF 213 DE SANTA MARIA,Distrito Federal,Brasília,Estadual,Urbana,16,473.47,429.44,498.66,421.7,487.5,462.15
17161,23068825,EEMTI ESTADO DO MARANHAO,Ceará,Fortaleza,Estadual,Urbana,113,457.28,428.89,482.96,463.59,478.05,462.15
17162,22134360,U E VERONICA CELESTINA DIAS,Piauí,Campo Alegre do Fidalgo,Estadual,Urbana,15,454.27,419.35,468.55,455.17,513.33,462.14
17163,35013171,SEVERINO MOREIRA BARBOSA,São Paulo,Cachoeira Paulista,Estadual,Urbana,14,447.49,418.29,484.59,495.92,464.29,462.12
17164,52051455,COLEGIO ESTADUAL SALOMAO ELIAS ABDON,Goiás,Santo Antônio do Descoberto,Estadual,Urbana,26,461.71,433.01,490.77,484.24,440.77,462.1
17165,51190974,EE TEREZINHA DE JESUS SILVA,Mato Grosso,Várzea Grande,Estadual,Urbana,10,443.85,437.04,492.21,439.38,498,462.1
17166,29282977,EE - COLEGIO POLIVALENTE DE ITAPETINGA,Bahia,Itapetinga,Estadual,Urbana,14,452.99,439.84,483.26,471.51,462.86,462.09
17167,22136550,U E SAO JOSE,Piauí,Aroeiras do Itaim,Estadual,Urbana,13,461.38,413.12,462.54,427.25,546.15,462.09
17168,50005863,EE PROF¬ THEREZA NORONHA DE CARVALHO,Mato Grosso do Sul,Campo Grande,Estadual,Urbana,53,461.15,428.23,492.51,452.31,476.23,462.08
17169,33061920,CE RAYMUNDO CORREA,Rio de Janeiro,Queimados,Estadual,Urbana,21,458.93,431.12,485.22,449.4,485.71,462.08
17170,35050404,JARDIM ALEGRIA II,São Paulo,Francisco Morato,Estadual,Urbana,33,477.31,430.79,497.09,460.34,444.85,462.08
17171,33027137,CE ALMIRANTE FREDERICO VILLAR,Rio de Janeiro,Arraial do Cabo,Estadual,Urbana,30,471.06,452.17,495.69,488.1,403.33,462.07
17172,26113813,ESCOLA COMPOSITOR ANTONIO MARIA,Pernambuco,Olinda,Estadual,Urbana,26,474.12,437.23,506.13,451.18,441.54,462.04
17173,21145520,CENTRO DE ENSINO LUZENIR MATTA ROMA,Maranhão,Codó,Estadual,Urbana,155,457.86,425.95,470.44,468.46,487.48,462.04
17174,51088860,EE DUNGA RODRIGUES,Mato Grosso,Várzea Grande,Estadual,Urbana,20,467.46,436.8,487.41,481.53,437,462.04
17175,41084721,JOSE DE ANCHIETA C E EF M,Paraná,Dois Vizinhos,Estadual,Urbana,23,452.19,430.94,476.64,459.95,490.43,462.03
17176,14321653,ESCOLA ESTADUAL TEREZA TEODORO DE OLIVEIRA,Roraima,Caroebe,Estadual,Urbana,14,462.31,434.44,468.79,481.71,462.86,462.02
17177,23142804,EEMTI FILGUEIRAS LIMA,Ceará,Iguatu,Estadual,Urbana,46,460.47,440.49,474.79,455.67,478.7,462.02
17178,31137707,EE DOUTOR FARID SILVA,Minas Gerais,PratÁpolis,Estadual,Urbana,14,451.51,424.62,494.16,464.04,475.71,462.01
17179,23004088,EEM MONSENHOR JOSE CARNEIRO DA CUNHA,Ceará,Chaval,Estadual,Urbana,132,462.45,438.88,475.95,470.73,461.97,461.99
17180,17026300,ESCOLA ESTADUAL LIBERDADE,Tocantins,Palmas,Estadual,Urbana,45,463.24,421.85,481.07,474.01,469.78,461.99
17181,23077387,EEFM SALES CAMPOS,Ceará,Fortaleza,Estadual,Urbana,44,459.69,435.22,481,460.86,473.18,461.99
17182,31346195,CESEC DE NOVA SERRANA,Minas Gerais,Nova Serrana,Estadual,Urbana,12,468.13,443.68,497.14,494.28,406.67,461.98
17183,35923588,MARIA DE LOURDES VIEIRA,São Paulo,São Paulo,Estadual,Urbana,29,463.19,423.1,489.23,459.87,474.48,461.97
17184,26117258,ESCOLA CUSTODIO PESSOA,Pernambuco,Paulista,Estadual,Urbana,70,463.19,429.14,484.77,463.63,469.14,461.97
17185,13030248,ESCOLA ESTADUAL CACILDA BRAULE PINTO,Amazonas,Manaus,Estadual,Urbana,10,461.17,414.12,461.28,449.22,524,461.96
17186,29193567,EE - COLEGIO ESTADUAL MARIA AMELIA SANTOS,Bahia,Salvador,Estadual,Urbana,11,495.2,453.65,485.13,484.89,390.91,461.96
17187,13090232,ESCOLA ESTADUAL RAIMUNDA HOLANDA DE SOUZA,Amazonas,Manaus,Estadual,Urbana,113,464.65,439.76,485.23,462.76,457.35,461.95
17188,15575519,EEEM SEVERO ALVES,Pará,Breu Branco,Estadual,Urbana,99,455.93,425.86,481.87,460.14,485.86,461.93
17189,31082414,EE LEONIDAS ALVES RIBEIRO,Minas Gerais,Rubelita,Estadual,Urbana,20,466.38,420.65,484.39,447.2,491,461.92
17190,11014300,EEEFM JUSCELINO KUBITSCHEK DE OLIVEIRA,Rondônia,Ji Paraná,Estadual,Urbana,26,441.72,425.64,473.6,489.39,479.23,461.92
17191,24036730,ESCOLA ESTADUAL MANOEL CORREIA - ENS FUNDAMENTAL E MEDIO,Rio Grande do Norte,Ouro Branco,Estadual,Urbana,28,486.66,430.48,494.81,468.31,429.29,461.91
17192,22082298,U E DIRCEU M ARCOVERDE,Piauí,Picos,Estadual,Urbana,11,451.03,435.65,495.29,467.55,460,461.91
17193,29068320,EE - COLEGIO ESTADUAL ARNALDO DE OLIVEIRA - TEMPO INTEGRAL,Bahia,Caém,Estadual,Urbana,30,455.01,434.01,475.76,474.73,470,461.9
17194,23236582,CEJA MILTON CUNHA,Ceará,Fortaleza,Estadual,Urbana,81,470.08,445.96,493.13,460.07,440.25,461.9
17195,31002259,EE AFRANIO DE MELO FRANCO,Minas Gerais,Belo Horizonte,Estadual,Urbana,35,492.45,437.03,502.9,466.25,410.86,461.9
17196,22010556,U E CASSIANA ROCHA,Piauí,Piripiri,Estadual,Urbana,45,453.83,423.68,470.12,457.82,504,461.89
17197,26130149,ESCOLA EMIDIO CAVALCANTI DE ALBUQUERQUE,Pernambuco,Cabo de Santo Agostinho,Estadual,Urbana,68,469.08,440.18,483.45,459.03,457.65,461.88
17198,16006461,ESCOLA ESTADUAL MARIA IVONE DE MENEZES,Amapá,Macapá,Estadual,Urbana,45,467.18,425.89,478.92,452.94,484.44,461.87
17199,29429498,EE - COLEGIO ESTADUAL PROFESSORA MARIA LEAL LOPES,Bahia,Nova Ibiá,Estadual,Urbana,10,442.92,430.8,459.55,446.1,530,461.87
17200,32048106,EEEFM OLAVO RODRIGUES DA COSTA,Espirito Santo,Ibitirama,Estadual,Urbana,17,456.45,456.96,464.32,473.98,457.65,461.87
17201,29060001,EE - COLEGIO ESTADUAL IMACULADA CONCEICAO,Bahia,Cafarnaum,Estadual,Urbana,49,466.48,429.99,474.69,465.89,472.24,461.86
17202,29433843,EE - COLEGIO ESTADUAL INTEGRACAO DISTRITO DE ITABATAN,Bahia,Mucuri,Estadual,Urbana,82,454.45,442.45,489.73,477.29,445.37,461.86
17203,21134235,CENTRO DE ENSINO HUMBERTO DE CAMPOS,Maranhão,Araioses,Estadual,Urbana,16,457.55,436.19,483.77,461.71,470,461.84
17204,25070576,EEEFM MARIA JOSE MIRANDA BURITY,Paraíba,Serra da Raiz,Estadual,Urbana,14,465.91,416.39,498.34,462.64,465.71,461.8
17205,17029872,COLEGIO ESTADUAL 31 DE MARCO,Tocantins,Lizarda,Estadual,Urbana,14,460.74,413.66,463.07,467.21,504.29,461.79
17206,21030375,CENTRO DE ENSINO JOAQUIM SOEIRO DE CARVALHO,Maranhão,Barreirinhas,Estadual,Urbana,82,466.59,437.55,487.99,454.88,461.95,461.79
17207,29093511,EE - COLEGIO ESTADUAL EDITH MACHADO BOAVENTURA,Bahia,Feira de Santana,Estadual,Urbana,58,450.36,434.52,474.29,463.21,486.55,461.78
17208,11104805,EEEFM CESAR FREITAS CASSOL,Rondônia,Porto Velho,Estadual,Rural,10,475.08,427.49,493.7,454.64,458,461.78
17209,21107203,CENTRO DE ENSINO NEWTON BELLO,Maranhão,Trizidela do Vale,Estadual,Urbana,60,450.38,438.91,473.67,467.18,478.67,461.76
17210,21131384,CENTRO DE ENSINO DARCY VARGAS,Maranhão,São José dos Basílios,Estadual,Urbana,33,450.98,425.79,470.87,501.12,460,461.75
17211,29023688,EE - CENTRO TERRITORIAL DE EDUCACAO PROFISSIONAL JOSE AMANCIO FILHO,Bahia,Curaçá,Estadual,Urbana,14,448.02,416.31,483.99,454.65,505.71,461.74
17212,35905665,JOSE GILBERTO DE OLIVEIRA SOUZA PROFESSOR,São Paulo,Vargem Grande do Sul,Estadual,Urbana,21,468.87,427.84,484.07,476.39,451.43,461.72
